url,text
https://www.newindianexpress.com/live/2020/apr/14/covid-19-live--maharashtra-coronavirus-cases-touch-2800-highest-in-india-2129750.html,"By Online Desk

The death toll due to COVID-19 in India has risen to 377 while the number of positive cases across the country has neared 12,000. As Prime Minister Narendra Modi announced the extension of the nationwide lockdown till May 3 but said the restrictions could be eased after April 20 in the least affected parts of the country to allow essential activities.

More than 32 crore poor people have been provided financial support worth Rs 29,352 crore as on April 13, the govt further added.

Meanwhile, the Ministry of Home Affairs (MHA) on Wednesday issued consolidated revised guidelines on measures to be taken by Ministries and Departments of Government of India, state and Union Territory governments and authorities for the containment of COVID-19.

With the extension of the lockdown, the Indian Railways and the aviation regulatory body DGCA stated that rail and air services will also remain suspended till May 3.

Here are the LIVE UPDATES:"
https://www.newindianexpress.com/cities/mumbai/2020/apr/15/60-cases-seven-deaths-heres-how-dharavis-covid-19-fight-is-progressing-2130378.html,"Sudhir Suryawanshi By

Express News Service

MUMBAI: The number of coronavirus patients and deaths in Asia's largest slum Dharavi is rising by the day.

The fight here is being keenly followed. Spread across 613 hectares, the slum in the heart of India's 'Maximum City' houses more than 15 lakh people, with as many as five to eight people sharing a 100 sq ft room.

Social distancing is nearly unthinkable. “Lakhs of people are literarily crammed here. There is no proper ventilation, light and other basic facilities like water... We lack basic things,” social activist Rajendra Korade had told The New Indian Express recently.

The Mumbai slum saw a total of 60 positive patients being detected till Wednesday morning. Seven patients have died.

Dr Baliga Nagar of Dharavi saw five positive cases and two deaths.

Apart from this, two cases were reported in the Vaibhav housing society, 14 in Mukund Nagar, two in Madina Nagar and one in Dhanwada Chawl.

There were a further seven cases and one death in Muslim Nagar, six cases and one death in Social Nagar, seven cases in Janata Society, four cases and two deaths in Kaylanwadi, and one case each in PMGP Colony and Murugan Chawl.

There were also two cases in Rajiv Gandhi Chawl, four cases Shashtri Nagar, one case in Indira Chawl and one in Gulmohar Chawl. Nehru Chawl registered one death.

The Brihanmumbai Municipal Corporation (BMC) has identified nine contaminated locations in Dharavi and all of them are sealed.

Rahul Shewale, Shiv Sena MP from Dharavi said they have decided to check each and every area.

""We want to do this rather than wait for people to come to BMC hospitals. The BMC is going to their doorsteps and checking them. We are taking a proactive approach while dealing with this pandemic. In the next 10 days, we will complete these door-to-door health checks,"" he added.

Vijay Khabale, the BMC PRO, said that they have started an area clinic in every contaminated zone.

""A large number of people are voluntarily coming here and BMC is also going to each house and checking all residents of Dharavi. Therefore, we are seeing a spike in the numbers of coronavirus patients in Dharavi and other parts of Mumbai,"" said Khabale.

Talking of Mumbai, a total of 1351 coronavirus positive cases have been detected and 112 deaths reported till Wednesday. Those who tested positive include 100 health workers.

Worli, Prabhadevi, Byculla, Peddar road, Bandra, Andheri East and West, and Kurla are among the regions seeing more number of coronavirus positive cases.

The Maharashtra government has formed an expert doctors committee that is monitoring the hotspots.

""These health experts from various private and government hospitals are holding regular reviews and planning the strategy,"" a BMC official said.

PRO Khabale said that apart from health checks, they have started disinfecting all suspected areas.

""The police has been deployed in the sealed areas, so no one can go out and come inside. We have also told residents to make the list of essentials and are only allowing a few people from every building to go shopping. As per the Maharashtra government's demarcation of coronavirus-infected areas, Mumbai comes in the red zone. However, BMC has been working on a war footing to contain the spread of the coronavirus. We are expecting to see a dip in the numbers in the coming days. The curve will soon start flattening particularly in Mumbai,"" Khabale added.

Maharashtra Chief Minister Uddhav Thackeray is himself closely monitoring the Mumbai situation."
https://www.newindianexpress.com/nation/2020/apr/15/all-five-who-died-of-covid-19-in-bhopal-were-gas-tragedy-victims-2130410.html,"By PTI

BHOPAL: All five persons who died due to coronavirus in Bhopal were victims of the 1984 gas tragedy in the Madhya Pradesh capital, an official said on Wednesday.

On March 21, some organisations working for the survivors of Bhopal gas tragedy wrote to the authorities concerned, saying such people were more vulnerable to the coronavirus infection than normal individuals.

""All the five persons who died after contracting COVID-19 here were victims of the Bhopal gas tragedy,"" the official said.

The Bhopal Memorial Hospital and Research Center (BMHRC), a dedicated facility for the treatment of gas mishap survivors, was recently turned into a medical facility for coronavirus patients, causing hardship to these people, Rachna Dhingra, member of the NGO Bhopal Group for Information and Action, told PTI.

The first coronavirus victim from Bhopal, a 55-year- old man, died at a city hospital on April 5 due to negligence of authorities, she alleged.

Another 80-year-old gas tragedy victim, who was a retired employee of the Bharat Heavy Electricals Limited (BHEL), was also not given due medical care.

He died on April 8 and his sample came out positive for coronavirus on April 11, Dhingra said.

Besides, a 40-year-old gas tragedy victim, who was suffering from oral cancer for more than a year, died on April 12 and his sample test report later came out positive for coronavirus, she said.

Another 52-year-old gas mishap survivor, who suffered from a permanent injury, had history of tuberculosis and could not get prompt care for his respiratory problems.

He recently tested positive for coronavirus and died on his way to the COVID-19 ward at Hamidia hospital, she said.

Also, a 75-year-old senior journalist, who survived the gas tragedy, died on April 11 and his sample test report came out positive for coronavirus on Tuesday, she said.

On March 21, some organisations working for the welfare of gas tragedy survivors wrote to the state and central authorities concerned, saying an overwhelming number of gas victims suffer from respiratory, cardiovascular, kidney problems and cancer as a result of exposure to the toxic gas that leaked at the Union Carbide factory here in 1984.

They claimed that these survivors were at least five times more vulnerable to COVID-19 than other people.

Instead of paying special attention to the needs of Bhopal gas victims, the state government took over BMHRCand turned it into a medical facility for COVID-19 patients, Dhingra said.

For last 22 days, no gas victim was even allowed to avail emergency services there, she said.

Dhingra said before BMHRC was converted into a dedicated facility for coronavirus patients, 86 gas tragedy survivors were admitted there.

After it was made a hospital for COVID-19 patients, all except five were discharged.

Out of these five, a 68- year-old woman died at the hospital due to ailments related to the gas mishap, she said.

Besides, out of the gas tragedy survivors discharged from BMHRC, two persons, both aged around 70, died at their homes while another one died at a city hospital due to the gas leak mishap related illnesses, she said.

In a letter to gas relief hospital's monitoring committee chairman, retd Justice V K Agrawal, the NGOs pointed out all these aspects and urged him to re-start the medical facility for gas victims considering their vulnerability.

The NGOs have also filed a writ petition in the Madhya Pradesh High Court, demanding that gas victims be provided a dedicated medical facility for their treatment, as was the practice earlier.

Meanwhile, taking note of the death of five gas tragedy victims due to coronavirus, the state government has decided to categorise BMHRC as a 'COVID Health Centre' where gas mishap survivors can continue to avail treatment for their ailments.

An order to this effect was issued late Tuesday evening, a health department official said.

""Now, gas victims can continue to get treatment as usual in BMHRC, he said.

Bhopal Divisional Commissioner Kalpana Shrivastava said the earlier decision to make BMHRC a dedicated facility for COVID-19 patients was taken at the ""government level"".

Dhingra said the Out Patient Departments (OPDs) in other government hospitals of Bhopal continue to remain open for gas incident survivors.

Arif Aqueel, the former state minister of Bhopal Gas Tragedy Relief and Rehabilitation Department, said the earlier decision to close BMHRC for gas victims was not in the interest of these people, and they should be given treatment at this facility on priority, especially in the OPD."
https://www.newindianexpress.com/nation/2020/apr/15/meghalaya-doctor-dies-of-coronavirus-first-such-death-in-state-2130403.html,"By IANS

SHILLONG: A senior doctor in Meghalaya John L. Sailo Ryntathiang, who tested positive for nCoV two days back, on Wednesday succumbed to COVID-19 registering the first coronavirus death in the hill state, officials said.

Confirming the death of the doctor, Meghalaya Chief Minister Conrad K. Sangma said: ""I am deeply saddened to inform that the first COVID-19 positive patient in Meghalaya passed away this morning (Wednesday). My heartfelt condolences to his family and loved ones. May his soul rest in peace.""

Sixty-nine-year-old Sailo Ryntathiang, the founder of the private Bethany Hospital, breathed his last in the wee hours on Wednesday. He had tested positive for the coronavirus on Monday evening.

READ| Meghalaya becomes third northeastern state after Arunachal, Mizoram, to extend lockdown till April 30

The Chief Minister in a separate tweet said that of the 68 swab samples tested so far, six have come out positive for nCoV and they are all family members and helpers of Sailo Ryntathiang at his private hospital. ""Six other cases are being re-tested. We are currently sanitising adjoining areas of the Bethany Hospital, particularly Nongrim Hills, near the hospital in Shillong,"" the Chief Minister said in another tweet.

Sangma said that a total of 90 samples have been sent for testing after the first COVID-19 positive case in Meghalaya.

The areas around Bethany Hospital in Shillong and Nongpoh have been sealed. Lists of the primary contacts of the doctor and the secondary contacts are being compiled.

The doctor had no travel history except that his son-in-law, who is a pilot, had been to COVID-19 infected countries, and had returned home on March 22. According to health officials in Shillong, the pilot, however, did not show any symptoms of coronavirus and was an asymptomatic case."
https://www.newindianexpress.com/nation/2020/apr/15/gujarat-cm-self-isolates-after-mla-he-met-tests-coronavirus-positive-2130402.html,"By PTI

AHMEDABAD: Gujarat Chief Minister Vijay Rupani has decided to run the state administration without meeting anyone for next one week after a Congress MLA whom he met on Tuesday tested positive for coronavirus.

Rupani's health is fine and he will run the state administration through technological facilities like video conference, video-calling and tele-calling, Chief Minister's Office (CMO) secretary Ashwani Kumar said on Wednesday.

""No visitor will be allowed at the chief ministers residence for the next one week,"" he said.

Congress MLA Imran Khedawala, who met Rupani along with other party legislators on Tuesday morning, tested positive for coronavirus in the evening.

Kumar said Khedawala committed a big mistake by not staying at home and coming out to meet Rupani when he had given his samples for coronavirus testing."
https://www.newindianexpress.com/specials/2020/apr/15/healthcare-vs-defence-coronavirus-and-how-the-world-invested-in-the-wrong-fight-2130348.html,"With the rapid and universal spread of the deadly coronavirus challenging the fundamental assumptions and development models of the societies we live in, there sure will be policy resets and political costs to pay after the pandemic ebbs. Even the US that spends top dollar on healthcare was grossly underprepared when the invisible virus began its invasion. Here are data points on the military and health budgets of nuclear powers and other big hitters in the arms market, to figure out if better, focused spending on health infrastructure could have eased the situation a tad.

Defence budgets across geographies to take a haircut

The world is now fighting a different kind of protracted war. Military experts predict that budget priorities for governments will be more about the coronavirus response and health systems, while their overall spending capacity gets hammered by the economic devastation caused by the outbreak. “It is too early to discern what the full impact of this pandemic will be for defence ministries. That it will have an impact, and a significant one, however, now seems beyond doubt,” wrote Douglas Barrie, Nick Childs and Fenella McGerty in a blogpost for the International Institute for Strategic Studies. Economists at Rand, the US policy research institute, said it appears that cuts are coming, as the US government’s “ability to purchase defense items is likely to fall.”

Sources: Data on miliary sales in 2018 from Stockholm International Peace Research Institute (Sipri). Defence expenditure data is from Sipri. Numbers on public health expenditure (state and central government) are from OECD, with asterisks for figures that include private spending. All numbers from 2018 or the latest available."
https://www.newindianexpress.com/states/kerala/2020/apr/15/in-a-first-keralas-thrissur-pooram-called-off-entirely-amid-covid-19-lockdown-2130375.html,"By Express News Service

THRISSUR: After a meeting in the presence of ministers in the district, Cochin Devaswom Board authorities along with Thiruvambady and Paramekkavu devaswoms, decided to call off Thrissur Pooram entirely, in the wake of extension of the nationwide lockdown til May 3 amid coronavirus pandemic.

Even though preparations for the event, which was was set to happen on May 2, were stopped when the lockdown was announced, the organisers were hopeful about conducting the rituals. As the lockdown norms restrict gathering of not more than five people in temples, the meeting decided to avoid all rituals including flag hoisting for the pooram.

As there were confusions about pooram in the faction temples, the meeting also discussed it and decided to not conduct the pooram there also.

Drawing a large crowd including foreign tourists, Thrissur Pooram has a history of more than two centuries. Now, pooram fans around the globe have to wait for another year to enjoy Ilanjithara Melam, Madathil Varavu and the much appreciated Kudamattam. Fireworks display as a part of the pooram was another awaited feast, which the pooram lovers will miss this year."
https://www.newindianexpress.com/cities/chennai/2020/apr/15/maximum--covid-19-cases-in-city-between-30-39-years-of-age-chennai-corporation-data-2130358.html,"By Express News Service

CHENNAI: The maximum number of those affected by COVID-19 in Chennai so far (44 out of 205 cases), are between 30-39 years of age. Out of this 44, 36 are men, according to data released by the city corporation on Tuesday.

There are 39 cases each in the age groups of 40-49 and 50-59 while 21 people belonging to the 60-69 age group, 13 in the 70-79 age group and one in the 80 and above age group. The data also revealed that 68.78 per cent of all affected in Chennai were men.

Of the total 205 who were affected by the virus, 18 people- one each in Alandur, Teynampet, Royapuram and Adyar zones, seven in Anna Nagar zone, five in Kodambakkam and two in Valasaravakkam- have already recovered. The city has, so far, reported five deaths- three in Royapuram, one each in Thiru Vi Ka Nagar and Tondiarpet zones.

The Royapuram zone continues to remain the most affected with a total of 63 people affected while Ambattur and Manali zones have no reported cases so far."
https://www.newindianexpress.com/nation/2020/apr/15/suspension-of-services-essential-to-prevent-coronavirus-spread-railway-official-2130350.html,"By PTI

NEW DELHI: Senior officials of the Railways on Tuesday said suspension of train services and other public transport is necessary to ensure social distancing which is the only way to prevent the spread of coronavirus.

Fearing a repeat of what happened in Mumbai earlier during the day when thousands of migrants gathered at Bandra railway station hoping to catch trains to their native places, the Northern Railway also issued an advisory.

""The general public is informed that a decision has been taken to not run any trains by Northern Railways till 3rd May 2020 in view of COVID-19, hence such fake news in circulation may not be believed,"" a Northern Railways spokesperson said.

The official also asked media persons to publicise that Northern Railways is not running any train from Delhi or anywhere else.

Amidst rumours that train services in the country will be resumed from April 15, the Railway Ministry also issued a clarification on Twitter.

""It is clarified that all passenger train services are fully cancelled across the nation till 3rd May 2020 and there is no plan to run any special train to clear the passenger rush.

All concerned may please take note of the same and help us in resisting any wrong news in this regard,"" the railway ministry said on the social networking website.

Prime Minister Narendra Modi Tuesday announced extension of the lockdown across the country till May 3 to fight the coronavirus pandemic, saying the measure has produced a significant outcome in containing the infection.

Even as the announcement stalled the prospective functioning of 15,000 passenger trains of the railways, thousands of migrant workers converged near the Bandra railway station in Mumbai hoping to catch trains back to their home states.

Railways, however, said all passengers will get full refund for tickets booked for the cancelled trains as well as for those booked in advance.

Sources said that after the Bandra incident, numerous messages were circulated on social media groups with false information that passenger train services will resume from April 15.

Some messages also suggested that railways will clear the rush of passengers, mostly migrant workers, in special trains, they said.

""The only way to prevent the spread of COVID-19 is by social distancing. Movement of public by public transport system cannot ensure social distancing. It is in this context that trains and buses are not being allowed to run in this crucial lockdown period. Even a single infected person travelling in a train can pass on the infection to thousands of passengers,"" a senior official of the railways said.

The official said in the early days of the spread of the pandemic, at least 12 cases were reported where those marked with home quarantine travelled in trains and could have spread the virus.

The official further said boarding and deboarding at different stations will continue to aggravate the situation further.

India has reported 10,363 cases of the virus and 339 deaths so far.

""With many trains running, this number will get multiplied manifold. Moreover, once this large no of people will reach their respective villages, the infection will spread there as well and it all will become unmanageable. The contact tracing will become impossible in such a scenario,"" the official said, adding that it was in public and national interest that social distancing be ensured at any cost.

Around 15,523 trains run by the railways have been affected due to the lockdown including 9,000 passenger trains and 3,000 mail express services which are run daily during normal circumstances."
https://www.newindianexpress.com/states/kerala/2020/apr/14/interview--covid-19-fight-may-take-up-to-nine-months-dr-anup-warrier-2129732.html,"Anuja Susan Varghese By

Express News Service

KOCHI: The fight against coronavirus is going to be a long one and the pandemic will end only when a section of the population develops resistance, says infectious diseases expert Dr Anup R Warrier. Kerala has done well so far but now it all depends on how the state handles the situation once the lockdown is lifted, he tells TNIE in an interview.

So far, more than 9,000 people have tested positive in India. Do you think these numbers truly represent the spread of the virus? Where are we headed?

We are dealing with a global pandemic, and that means the disease can be present anywhere. This is a respiratory virus that is highly transmissible. Its endpoint is when the population develops herd immunity and the virus is no longer able to spread. But, till then it is a long haul and we have to wait and see whether we can go on with the advantage that we have gained now. It may take six to nine months -- till a part of the population acquires resistance.

Which stage are we as far as the pandemic is concerned?

Since we are dealing with a pandemic, we can talk about stages only from a global perspective. In this regard, we are in Stage 6 now. Hospital admissions and deaths are an important parameter of the severity of the disease.

But the numbers are low here compared to other countries. But, we seem to have missed the WHO alert. When WHO declared it as a pandemic, we should have closed international borders for all. Instead, we first blocked arrivals from China, and then Italy, while gates were open for the Middle East and Europe for long.

Do you think the lockdown has helped?

Yes, the lockdown has helped us to buy time for making necessary arrangements. ICU beds, PPE, testing kits, infrastructure and trained manpower -- all must be made ready. However, those working in the frontline are not supplied with sufficient PPE and masks even now. There is a supply issue and we are forced to learn to reuse masks.

India is seeing a large number of asymptomatic cases. Why do you think this is happening?

Asymptomatic and mild symptomatic cases are a danger. Such people help in spreading the disease and the scenario helps the virus to survive. It is not a trait specific to the coronavirus. Generally, all viruses have this hidden danger.

What do you think of the situation in Kerala?

Lockdown has benefitted us. There is no community spread yet. Now, it all depends on how the state handles the situation once the lockdown is lifted.

Compared to other states, the mortality in Kerala has been low.

The mortality rates cannot be compared unless we have all the details -- age profile, co-morbidity and stage of the disease etc. But an important factor here is the access to good healthcare in Kerala. Below particular social strata, access to healthcare is superior in Kerala compared to other states.

Do you agree with India’s testing strategy?

Testing can be done for treatment and also to know the magnitude of the disease. Since, we have mechanisms here to know where the disease stands, testing is not a concern.

Do you have any suggestions regarding the treatment protocol?

The treatment protocol may get stabilised in a month or so. We cannot authoritatively prescribe any particular medicine for Covid-19. Trials are progressing. Availability and familiarity of the drug is the key for using one now.

There’s lot of hype around hydroxychloroquine (HCQ)

HCQ is cheap, readily available and is a familiar drug. That is why it is being used widely. Clinical trials are going on. On an experimental basis, the drug can be used if somebody is suffering from pneumonia and the condition is worsening. In such cases, the risk from the disease is more than that from the drug. So, we can experiment."
