url,text
https://indscicov.in/for-public/busting-hoaxes/,coronavirus was made in a lab
https://indscicov.in/for-public/busting-hoaxes/,eating  non-vegetarian food is risky for coronavirus
https://indscicov.in/for-public/busting-hoaxes/, Cow urine or cow dung can protect you from the novel Coronavirus
https://indscicov.in/for-public/busting-hoaxes/, Indians have better immunity against the novel Coronavirus
https://indscicov.in/for-public/busting-hoaxes/,The variant of the novel Coronavirus spreading in India is less dangerous
https://indscicov.in/for-public/busting-hoaxes/,The novel Coronavirus can spread through mosquito bites
https://indscicov.in/for-public/busting-hoaxes/,The novel Coronavirus can be transmitted to you through bites of animals such as cats and dogs
https://indscicov.in/for-public/busting-hoaxes/,The novel Coronavirus can spread through the use of air conditioning
https://indscicov.in/for-public/busting-hoaxes/,Fasting can help you reduce the chances of getting the novel Coronavirus
https://indscicov.in/for-public/busting-hoaxes/,Clapping hands can kill the novel Coronavirus
https://indscicov.in/for-public/busting-hoaxes/,Houseflies can spread the novel Coronavirus
https://indscicov.in/for-public/busting-hoaxes/,Homeopathic and ayurvedic treatments can protect you from the novel Coronavirus
https://indscicov.in/for-public/busting-hoaxes/,The spread of the novel Coronavirus can be predicted using astrology
https://indscicov.in/for-public/busting-hoaxes/,"The miracle cure messages circulating in social media such as WhatsApp, Facebook can cure you of the novel Coronavirus."
https://indscicov.in/for-public/busting-hoaxes/,Practicing yoga can protect you from the novel Coronavirus
https://indscicov.in/for-public/busting-hoaxes/,Can home remedies protect from the novel Coronavirus?
https://indscicov.in/for-public/busting-hoaxes/,Can light from candles and diyas kill the Covid-19 virus & stop the epidemic?
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,5G mobile networks spreads COVID-19
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,Exposing yourself to the sun or to temperatures higher than 25C degrees prevents the coronavirus disease (COVID-19)
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort means you are free from the coronavirus disease (COVID-19) or any other lung disease.
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,Drinking alcohol  protects you against COVID-19 and can be dangerous
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,COVID-19 virus can not be transmitted in areas with hot and humid climates
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,Cold weather and snow can kill the new coronavirus
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,Taking a hot bath prevents the new coronavirus disease
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,The new coronavirus can be transmitted through mosquito bites
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,hand dryers are effective in killing the new coronavirus
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters, ultraviolet disinfection lamp xan kill the new coronavirus
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,spraying alcohol or chlorine all over your body can kill the new coronavirus
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,vaccines against pneumonia xan protect you against the new coronavirus
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,regularly rinsing your nose with saline can help prevent infection with the new coronavirus
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,eating garlic help can prevent infection with the new coronavirus
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,"the new coronavirus affect older people, and younger people are not susceptible"
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,antibiotics re effective in preventing and treating the new coronavirus
others,"a state government in India has recommended that the juice of bitter gourd, a vegetable often used in traditional medicine, is an effective treatment for the novel coronavirus"
others,"a conversation between two persons, with one of them claiming that the World Health Organisation (WHO) has asked India to extend the lockdown from April 15 to June 15"
others,"an ""old Chinese doctor"" had found a cure to coronavirus, and that's one bowl of garlic"
others,"drinking water every fifteen minutes can prevent you from catching the virus. That is really not how coronavirus works. For those who've been drinking copious amounts of water just to ward off the disease, all this is doing is keeping you hydrated."
others,"consumption of Vitamin C will kill the virus even if you've contracted it. ""Tell yourself and your children that they are all supposed to be HIV positive and don't touch anyone and don't regret it"
